first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url
Shams,Williams,Shams Williams Solicitors,,,,,,Birmingham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/shams-williams-solicitors/n1wBl/
,,Smart Solicitors,,,,,,West Midlands,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/smart-solicitors-/jE9K1/
,,Eastwood Consultants Ltd,,Eastwoodlegal@consultant.com,,http://www.eastwoodconsultantsltd.com,eastwoodconsultantsltd.com,Birmingham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/eastwood-consultants-ltd/zjdn3/
,,ikon Law Ltd,,,,,,West Midlands,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/ikon-law-ltd/yZ8l/
David,Liu,David Liu Solicitor,,,,,,Coventry,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/david-liu-solicitor/0pZYV/
,,Law Doctor Legal and Corporate,,,,,,Multiple locations,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/law-doctor-legal-and-corporate/8VNbR/
,,HALEYS SOLICITORS,,,,,,Birmingham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/haleys-solicitors/yvZYR/
,,Alex James Law,,,,,,Oldbury,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/alex-james-law/lvMEv/
,,ALLNATIONS LEGAL SERVICES,,,,,,Birmingham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/allnations-legal-services/KN8Ev/
,,Vestra Lawyers,,,,,,West Midlands,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/vestra-lawyers/LYOLD/
,,JUST IMMIGRATION LAW,,,,,,Birmingham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/just-immigration-law/YOZpR/
,,Novi Law,,,,,,Birmingham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/novi-law/XaJZ1/
,,ECA Lawyers,,,,,,Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/eca-lawyers/LNzV3/
,,GDB Legal,,,,,,West Yorkshire,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/gdb-legal/ERben/
,,UK Immigration Solicitors,,,,,,Bradford,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/uk-immigration-solicitors/kPMzm/
,,Haider Solicitors,,,,,,Calderdale,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/haider-solicitors/vzwXk/
,,RKS Solicitors (Dewsbury) Ltd,,,,,,Huddersfield,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/rks-solicitors-dewsbury-ltd/pYKb0/
,,Ghafoors Legal,,,,,,Multiple locations,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/ghafoors-legal/J3eJR/
,,Gracefields Solicitors,,,,,,Bradford,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/gracefields-solicitors-/LeAn9/
,,Visas & Immigration (UK) Consultants Ltd,,,,,,Borough of Oldham,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/visas--immigration-uk-consultants-ltd/OmKvw/
,,MJH Law - UK Immigration Visas & Nationality,,mjhlawltd@gmail.com,,http://www.mjhlaw.co.uk,mjhlaw.co.uk,Bradford,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/mjh-law---uk-immigration-visas--nationality/Bm2kN/
,,GRACEFIELDS SOLICITOR,,,,,,Bradford,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/gracefields-solicitor/nXJLl/
,,Simo Law Firm,,,,,,City and Borough of Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/simo-law-firm/R69QG/
Henry,Hyams,Henry Hyams Solicitors,,,,,,Bradford,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/henry-hyams-solicitors/ynR7R/
,,GRACEFIELDS SOLICITOR,,,,,,Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/gracefields-solicitor/nXJLl/
,,Gracefields Solicitors,,,,,,Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/gracefields-solicitors-/LeAn9/
Henry,Hyams,Henry Hyams Solicitors,,,,,,Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/henry-hyams-solicitors/ynR7R/
Tyler,Hoffman,Tyler Hoffman Solicitors,,,,,,Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/tyler-hoffman-solicitors/dk7YM/
,,Alpha Shindara Legal,,,,,,City and Borough of Leeds,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/alpha-shindara-legal/ozXp4/
Cooper,Hall,Cooper Hall Solicitors,,,,,,Bradford,,UK,immigration,bark.com,https://www.bark.com/en/gb/company/cooper-hall-solicitors/XmX1G/
