first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url
,,HSF Kramer,Tier 1,,1 212 715 9100,https://www.hsfkramer.com,hsfkramer.com,,,US,immigration,legal500,https://www.legal500.com/firms/1561-herbert-smith-freehills-kramer-llp/c-united-states
,,"Morgan, Lewis & Bockius LLP",Tier 1,,1 860 240 2700,https://www.morganlewis.com,morganlewis.com,,,US,immigration,legal500,https://www.legal500.com/firms/50696-morgan-lewis-bockius-llp/c-united-states
,,BAL,Tier 1,,,,,,,US,immigration,legal500,
,,Baker McKenzie LLP,Tier 2,,1 650 856 2400,https://www.bakermckenzie.com/UnitedStates/PaloAlto,bakermckenzie.com,Washington DC,,US,immigration,legal500,https://www.legal500.com/firms/50079-baker-mckenzie-llp/c-united-states
,,Duane Morris LLP,Tier 2,,1 215.979 1000,https://www.duanemorris.com,duanemorris.com,Washington DC,,US,immigration,legal500,https://www.legal500.com/firms/50294-duane-morris-llp/c-united-states
Ian,R. Macdonald,Greenberg Traurig LLP,"Co-Chair, Global Immigration",,,https://www.gtlaw.com,gtlaw.com,,,US,immigration,legal500,https://www.legal500.com/firms/51354-greenberg-traurig-llp/c-united-states/lawyers/1875755-ian-r-macdonald
Laura,F. Reiff,Greenberg Traurig LLP,"Managing Shareholder & Co-Chair, Global Immigration",,,https://www.gtlaw.com,gtlaw.com,,,US,immigration,legal500,https://www.legal500.com/firms/51354-greenberg-traurig-llp/c-united-states/lawyers/1877639-laura-f-reiff
,,Greenberg Traurig LLP,Tier 2,,1 202 331 3100,https://www.gtlaw.com,gtlaw.com,,,US,immigration,legal500,https://www.legal500.com/firms/51354-greenberg-traurig-llp/c-united-states
,,Mayer Brown,Tier 2,,1 213 229 9500,https://www.mayerbrown.com,mayerbrown.com,Washington DC,,US,immigration,legal500,https://www.legal500.com/firms/50636-mayer-brown/c-united-states
,,McDermott Will & Schulte,Tier 2,,+ 1 212 547 5400,https://www.mcdermottlaw.com,mcdermottlaw.com,Washington DC,,US,immigration,legal500,https://www.legal500.com/firms/50652-mcdermott-will-schulte/c-united-states
,,Pryor Cashman LLP,Tier 2,,1 310 556 9608,https://www.pryorcashman.com,pryorcashman.com,,,US,immigration,legal500,https://www.legal500.com/firms/52263-pryor-cashman-llp/c-united-states
,,Seyfarth Shaw LLP,Tier 2,,1 617 946 4800,https://www.seyfarth.com,seyfarth.com,Los Angeles,,US,immigration,legal500,https://www.legal500.com/firms/50888-seyfarth-shaw-llp/c-united-states
,,Foster LLP,Tier 2,,,,,,,US,immigration,legal500,
,,"Fragomen, Del Rey, Bernsen & Loewy",Tier 2,,,,,,,US,immigration,legal500,
