first_name,last_name,firm_name,email,phone,city,state,trade_category,license_type,bar_number,source
,,St-Jacques & Fils inc.,stjacquesetfils@gmail.com,(450) 258-3172,Mirabel,QC,Carpentry,Entrepreneur,1199-8143-11,rbq_contractors_bar
,,Les Feuillages Du Québec Inc.,adm@lesfeuillagesduquebec.ca,(418) 492-2310,Saint-Pascal,QC,Carpentry,Entrepreneur,1219-1391-10,rbq_contractors_bar
,,G. Chouinard & Fils Inc.,mathchouinard@hotmail.com,(418) 883-3315,Sainte-Claire,QC,Carpentry,Entrepreneur,1330-0439-13,rbq_contractors_bar
,,Terrassement deux étoiles Ltée,info@deuxetoiles.com,(450) 691-1431,Châteauguay,QC,Carpentry,Entrepreneur,1351-6299-51,rbq_contractors_bar
,,Les Pavages Fillion inc.,info@pavagefillion.ca,(418) 845-3627,Québec,QC,Carpentry,Entrepreneur,1478-6396-56,rbq_contractors_bar
,,Jean-Claude Alary inc.,xaviert@groupejmv.com,(450) 477-2321,Terrebonne,QC,Carpentry,Entrepreneur,1503-2691-76,rbq_contractors_bar
,,Marijoli Excavation inc.,marijolisenc@hotmail.com,(418) 893-5516,Pohénégamook,QC,Carpentry,Entrepreneur,1644-7203-34,rbq_contractors_bar
,,Advance Cutting & Coring Ltd.,lynne@advancecutting.ca,(613) 741-7561,Ottawa,QC,Carpentry,Entrepreneur,1696-8802-53,rbq_contractors_bar
,,Coffrages Duc Ltée,coffragesduc@hotmail.fr,(450) 621-0427,Rosemère,QC,Carpentry,Entrepreneur,1829-0312-95,rbq_contractors_bar
,,Les excavations K. McElligott inc.,information@excavationmcelligott.com,(514) 634-2012,Dorval,QC,Carpentry,Entrepreneur,1882-3948-03,rbq_contractors_bar
,,Forage De Puits Champagne inc.,foragechampagne@outlook.com,(450) 348-2729,Saint-Jean-sur-Richelieu,QC,Carpentry,Entrepreneur,2158-9999-22,rbq_contractors_bar
,,Les Concassés Du Cap Inc.,jpelletier@concassesducap.com,(418) 246-3255,Cap-Saint-Ignace,QC,Carpentry,Entrepreneur,2164-1964-99,rbq_contractors_bar
