first_name,last_name,firm_name,email,phone,city,state,trade_category,license_type,bar_number,source
,,Emard Couvre-Planchers inc.,epion@emardcp.com,(450) 622-9460,Laval,QC,Flooring,Entrepreneur,1104-8618-06,rbq_contractors_bar
George,Limited,George And Asmussen Limited,jcosta@gamasonry.com,(819) 775-9073,Gatineau,QC,Flooring,Entrepreneur,1110-0674-28,rbq_contractors_bar
,,Les Revetements Decoron Ltee,jnehme@live.ca,(450) 682-8030,Laval,QC,Flooring,Entrepreneur,1145-4816-80,rbq_contractors_bar
,,Nadon & Fils Inc.,nadonetfils@bellnet.ca,(819) 986-5962,Gatineau,QC,Flooring,Entrepreneur,1149-3103-39,rbq_contractors_bar
,,P.A. Morin inc.,info@pamorin.ca,(418) 885-4282,Saint-Anselme,QC,Flooring,Entrepreneur,1173-0371-21,rbq_contractors_bar
,,Tapis Pincourt Inc.,tapispincourt@hotmail.com,(514) 453-7947,Pincourt,QC,Flooring,Entrepreneur,1262-9408-34,rbq_contractors_bar
,,Tapis Gagnon inc.,tapisgagnon@videotron.ca,(450) 758-8888,Joliette,QC,Flooring,Entrepreneur,1337-5977-45,rbq_contractors_bar
,,Rieux et Fils Ltée,jeremy@rieuxetfils.ca,(819) 663-6862,Gatineau,QC,Flooring,Entrepreneur,1340-7283-06,rbq_contractors_bar
,,Tuile & Terrazzo M.N. Ltee,tuilemn@qc.aibn.com,(514) 852-2288,Montréal,QC,Flooring,Entrepreneur,1351-8097-55,rbq_contractors_bar
,,La Galerie Du Tapis D'Astous & Freres Inc.,admin@galeriedutapis.com,(418) 296-6063,Baie-Comeau,QC,Flooring,Entrepreneur,1356-6047-84,rbq_contractors_bar
,,Les Entreprises Guy Choquette Ltée,comptabiliterose@videotron.ca,(450) 756-1804,Notre-Dame-des-Prairies,QC,Flooring,Entrepreneur,1359-5715-83,rbq_contractors_bar
,,Couvre-Plancher Perreault Inc.,cpperreault@qc.aira.com,(819) 425-2464,Mont-Tremblant,QC,Flooring,Entrepreneur,1371-3409-97,rbq_contractors_bar
,,VN Planchers Experts inc.,cathy.bourgeois@vnplanchers.com,(819) 864-4253,Sherbrooke,QC,Flooring,Entrepreneur,1461-4267-66,rbq_contractors_bar
,,Jean-Denis Beauchamp & Fils Inc.,jdbcomptabilite@bellnet.ca,(450) 588-3214,Saint-Roch-de-l'Achigan,QC,Flooring,Entrepreneur,1471-7573-62,rbq_contractors_bar
,,Couvre-Planchers Beloeil inc.,josiane.lafleur@flordeco.ca,(450) 467-5249,Beloeil,QC,Flooring,Entrepreneur,1505-7953-77,rbq_contractors_bar
,,Maison R. Bellehumeur Inc.,guybellu@gmail.com,(450) 752-7692,Terrebonne,QC,Flooring,Entrepreneur,1510-1132-19,rbq_contractors_bar
,,Sablage Industriel Saguenay Ltée,i.bouchard@sisqc.ca,(418) 549-7107,Saguenay,QC,Flooring,Entrepreneur,1623-5905-37,rbq_contractors_bar
,,Le Royaume Du Tapis inc.,a.bernier@bernierplanchersdeco.com,(418) 668-8731,Alma,QC,Flooring,Entrepreneur,1639-4215-66,rbq_contractors_bar
,,Couture Planchers Design inc.,s.couture@cpdinc.ca,(819) 566-7111,Sherbrooke,QC,Flooring,Entrepreneur,1678-4985-51,rbq_contractors_bar
Denis,Limitée,Denis Decoration Ltee,admin@denisdecoration.ca,(418) 562-5420,Matane,QC,Flooring,Entrepreneur,1692-9655-86,rbq_contractors_bar
,,86253 Canada Ltée,peinture.coalpha@gmail.com,(450) 454-6410,Saint-Édouard,QC,Flooring,Entrepreneur,1693-6957-02,rbq_contractors_bar
,,Les Géants Du Couvre-Plancher Marie-Pierre inc.,fl.harbec@lesgeants.ca,(450) 347-8525,Saint-Jean-sur-Richelieu,QC,Flooring,Entrepreneur,1831-0490-32,rbq_contractors_bar
,,Tapis Cowansville inc.,tapis.cowansville@flordeco.ca,(450) 263-4622,Cowansville,QC,Flooring,Entrepreneur,1846-3836-68,rbq_contractors_bar
,,Les Peintures An-Ka Ltee,info@peinturesanka.com,(450) 621-9658,Mirabel,QC,Flooring,Entrepreneur,1986-7795-71,rbq_contractors_bar
,,Maçonnerie Ghislain Lemieux Ltée,myll1975@hotmail.com,(450) 654-8290,Repentigny,QC,Flooring,Entrepreneur,1989-1712-95,rbq_contractors_bar
,,Les Industries Belco inc.,josee.belco@videotron.ca,(418) 679-3443,Saint-Félicien,QC,Flooring,Entrepreneur,2154-5017-40,rbq_contractors_bar
,,La Reine du Couvre Plancher Inc.,maxim@tonplancher.com,(819) 373-5515,Trois-Rivières,QC,Flooring,Entrepreneur,2156-4455-18,rbq_contractors_bar
,,Céramique De Choix inc.,ceramiquedechoix@hotmail.com,(418) 689-6669,Chandler,QC,Flooring,Entrepreneur,2172-6757-29,rbq_contractors_bar
,,Tuiles Céramiques Et Marbre Di Flumeri inc.,vdiflumeri@sympatico.ca,(450) 665-0986,Laval,QC,Flooring,Entrepreneur,2369-9671-90,rbq_contractors_bar
,,Pietro Céramique Inc.,pietroceramique@videotron.ca,(514) 573-3954,Laval,QC,Flooring,Entrepreneur,2403-5859-55,rbq_contractors_bar
,,Progexsol inc.,progexsol@videotron.ca,(514) 942-6390,Beloeil,QC,Flooring,Entrepreneur,2413-4553-29,rbq_contractors_bar
,,2416-2000 Quebec Inc.,comptabilite@ceramiquevachon.com,(819) 573-5289,Ascot Corner,QC,Flooring,Entrepreneur,2416-2000-65,rbq_contractors_bar
,,Couvre-Plancher Chapdelaine inc.,admin@cpchapdelaine.ca,(819) 477-6061,Drummondville,QC,Flooring,Entrepreneur,2423-8461-36,rbq_contractors_bar
,,Tuiles V.M. Et Fils Inc.,tuilesvm@gmail.com,(450) 966-2834,Mascouche,QC,Flooring,Entrepreneur,2619-4266-97,rbq_contractors_bar
,,Les Installations Donald Turcotte inc.,installationdonaldturcotte@videotron.ca,(418) 564-1400,L'Ancienne-Lorette,QC,Flooring,Entrepreneur,2621-8545-27,rbq_contractors_bar
,,2633-8426 Québec inc.,info@kingbeauce.com,(418) 227-5567,Saint-Philibert,QC,Flooring,Entrepreneur,2633-8426-67,rbq_contractors_bar
,,Ceramique Gastian Inc.,c.boutin@ceramiquegastian.ca,(418) 889-9197,Saint-Lambert-de-Lauzon,QC,Flooring,Entrepreneur,2637-4058-55,rbq_contractors_bar
,,Posage De Planchers Jolin inc.,annickfortin@sogetel.net,(418) 625-8194,Lac-Etchemin,QC,Flooring,Entrepreneur,2642-9118-22,rbq_contractors_bar
,,Norman Mowbray Ltd,mowbray@bellnet.ca,(905) 876-1432,Milton,QC,Flooring,Entrepreneur,2721-3867-46,rbq_contractors_bar
,,Quadecor Inc.,n.turpin@quadecor.ca,(819) 568-9888,Gatineau,QC,Flooring,Entrepreneur,2771-1894-10,rbq_contractors_bar
,,2847-3528 Québec Inc.,sperlazza@me.com,(514) 231-9444,Montréal,QC,Flooring,Entrepreneur,2847-3528-95,rbq_contractors_bar
,,Couvre-Planchers Joliette inc.,cpjoliette@gmail.com,(450) 756-1055,Repentigny,QC,Flooring,Entrepreneur,2855-3626-90,rbq_contractors_bar
,,Tapis national ( 1991 ) ltée,gaf_333@hotmail.com,(514) 270-2301,Montréal,QC,Flooring,Entrepreneur,2855-8047-33,rbq_contractors_bar
,,Décoration Dorais Inc,decorationdorais@live.ca,(514) 946-1346,Blainville,QC,Flooring,Entrepreneur,2858-4134-03,rbq_contractors_bar
,,Maconnerie T.N.M. Inc.,martin.perreault@hotmail.com,(450) 668-0661,Laval,QC,Flooring,Entrepreneur,2859-1915-67,rbq_contractors_bar
