first_name,last_name,firm_name,email,phone,city,state,trade_category,license_type,bar_number,source
,,Ascenseurs Nagle inc.,nagleinc@videotron.ca,(514) 482-6666,Montréal,QC,General Contractor,Entrepreneur,1116-6865-46,rbq_contractors_bar
,,D. A. C. Construction Incorporée,dacconstruction@videotron.ca,(514) 374-1400,Laval,QC,General Contractor,Entrepreneur,1118-5923-39,rbq_contractors_bar
,,Double E Électrique Inc.,angela@double-e-electrique.com,(514) 338-3711,Montréal,QC,General Contractor,Entrepreneur,1125-9249-12,rbq_contractors_bar
,,M. Filiatrault électricien inc.,m.filiatrault@live.com,(514) 744-2758,Montréal,QC,General Contractor,Entrepreneur,1128-5863-48,rbq_contractors_bar
,,Entrepreneur Peintre Ielsi Inc.,netoj@videotron.ca,(450) 508-4162,Blainville,QC,General Contractor,Entrepreneur,1136-8016-96,rbq_contractors_bar
,,Novocourant inc.,daniel.gauthier@novocourant.com,(450) 834-2343,Rawdon,QC,General Contractor,Entrepreneur,1138-6810-44,rbq_contractors_bar
,,Labrecque électrique ltée,labrecque.electrique.ltee@videotron.ca,(450) 442-2645,Longueuil,QC,General Contractor,Entrepreneur,1139-3485-49,rbq_contractors_bar
Robert,limitée,Robert Dube Limitee,robertdubeltee@icloud.com,(450) 467-5346,Otterburn Park,QC,General Contractor,Entrepreneur,1150-8785-56,rbq_contractors_bar
,,Julien inc.,nicolas.vallee@julien.ca,(418) 687-3630,Québec,QC,General Contractor,Entrepreneur,1154-6629-15,rbq_contractors_bar
,,Bellemare & Bellemare Inc.,bell.macon@gmail.com,(418) 655-3705,Québec,QC,General Contractor,Entrepreneur,1156-8565-55,rbq_contractors_bar
,,Louis Fecteau Inc.,l.fecteau@fecteauconstruction.com,(418) 667-6364,Québec,QC,General Contractor,Entrepreneur,1156-8706-59,rbq_contractors_bar
,,Do-Mar Électrique Inc.,lyne@do-marelectrique.com,(819) 563-2234,Sherbrooke,QC,General Contractor,Entrepreneur,1161-2736-40,rbq_contractors_bar
,,Demers électrique inc.,demerselectrique@hotmail.com,(819) 843-5728,Magog,QC,General Contractor,Entrepreneur,1161-9574-65,rbq_contractors_bar
,,Cap Isolation Ltee,sroy@capisolation.com,(819) 375-9621,Trois-Rivières,QC,General Contractor,Entrepreneur,1166-6070-21,rbq_contractors_bar
,,EBI Électric inc.,jmartel@ebielectric.com,(418) 228-5505,Saint-Georges,QC,General Contractor,Entrepreneur,1174-7466-39,rbq_contractors_bar
,,Georges Hamel Inc.,georgeshamel@cgocable.ca,(819) 474-7661,Drummondville,QC,General Contractor,Entrepreneur,1176-7332-72,rbq_contractors_bar
,,Bombardier électrique inc.,iba@bombardierelectrique.com,(450) 532-2553,Valcourt,QC,General Contractor,Entrepreneur,1180-1537-18,rbq_contractors_bar
,,Les Industries Harnois Inc.,m.buron@harnois.com,(450) 756-1041,Saint-Thomas,QC,General Contractor,Entrepreneur,1191-6244-35,rbq_contractors_bar
,,Les entreprises d'électricité G.G. Ltée,donald.gordon@ggelectrique.ca,(514) 341-2100,Pointe-Claire,QC,General Contractor,Entrepreneur,1207-7483-85,rbq_contractors_bar
,,La Corporation D'Entretien D'Ascenseur Indépendant Inc.,accounting@independantelevator.com,(514) 369-9000,Montréal,QC,General Contractor,Entrepreneur,1210-7306-22,rbq_contractors_bar
,,Azar Construction Inc.,jcarpanzano@azarconstruction.ca,(514) 633-1177,Montréal,QC,General Contractor,Entrepreneur,1221-8988-40,rbq_contractors_bar
,,Les entreprises électriques Roland Richard inc.,rolandrichard@tlb.sympatico.ca,(819) 333-4338,La Sarre,QC,General Contractor,Entrepreneur,1226-0352-79,rbq_contractors_bar
,,B.T. Briqueteur Inc.,stephanebeland@icloud.com,(514) 946-1494,Laval,QC,General Contractor,Entrepreneur,1236-6761-47,rbq_contractors_bar
,,Guy Brunelle Inc.,gbrunelle@guybrunelle.ca,(514) 729-0008,Montréal,QC,General Contractor,Entrepreneur,1241-4959-96,rbq_contractors_bar
,,P. & R. Desjardins Construction Inc.,info@prdesjardins.com,(514) 748-1234,Montréal,QC,General Contractor,Entrepreneur,1252-3783-63,rbq_contractors_bar
,,G & L électrique inc.,frederic.t@glelectrique.com,(418) 228-3665,Saint-Georges,QC,General Contractor,Entrepreneur,1263-2824-41,rbq_contractors_bar
,,Thivierge & fils inc.,info@thiviergeetfils.com,(418) 599-2516,Sainte-Agathe-de-Lotbinière,QC,General Contractor,Entrepreneur,1286-1340-92,rbq_contractors_bar
