first_name,last_name,firm_name,email,phone,city,state,trade_category,license_type,bar_number,source
Les,limitée,Les Industries Garanties Ltee,cathys@gil1957.com,(514) 342-3400,Mont-Royal,QC,HVAC,Entrepreneur,1112-7917-31,rbq_contractors_bar
,,Les entreprises d'électricité E.G. ltée,info@egelect.com,(514) 748-0505,Saint-Jérôme,QC,HVAC,Entrepreneur,1117-4844-68,rbq_contractors_bar
,,James Griffin & fils ltée,patrick@jamesgriffin.ca,(514) 935-6235,Montréal,QC,HVAC,Entrepreneur,1117-5031-72,rbq_contractors_bar
Rene,Limitee,Perron Couvreur,k.lapare@perroncouvreurs.com,(514) 327-1100,Montréal,QC,HVAC,Entrepreneur,1117-5833-85,rbq_contractors_bar
,,Entreprise d'électricité Astral inc.,plheureux@astralelectrique.com,(514) 254-9441,Montréal,QC,HVAC,Entrepreneur,1117-9942-52,rbq_contractors_bar
Horton,Limitée,Horton C.B.I. Limitee,nolan.polowick@mcdermott.com,(780) 998-2800,"Sturgeon County, AB",QC,HVAC,Entrepreneur,1118-0189-59,rbq_contractors_bar
,,Gaston Ouellette & fils inc.,stephane@gofelectrique.ca,(514) 388-3927,Montréal,QC,HVAC,Entrepreneur,1118-2904-98,rbq_contractors_bar
,,Techno-combustion inc.,dtoutant@technocombustion.com,(514) 388-1014,Varennes,QC,HVAC,Entrepreneur,1118-5741-34,rbq_contractors_bar
,,Lafleur & Fils inc.,sylvie@porteslafleur.com,(514) 642-3646,Montréal,QC,HVAC,Entrepreneur,1124-0744-71,rbq_contractors_bar
,,Almonte Industries inc.,maeva@almonte.co,(514) 604-6112,Montréal,QC,HVAC,Entrepreneur,1124-8580-74,rbq_contractors_bar
,,Primeau Métal inc.,info@primeaumetal.com,(514) 322-4160,Montréal,QC,HVAC,Entrepreneur,1124-9786-75,rbq_contractors_bar
,,Ital Forge Ornemental ltée,benoit@italforge.com,(514) 494-6460,Montréal,QC,HVAC,Entrepreneur,1125-0487-86,rbq_contractors_bar
,,FER ORNEMENTAL SPANISH LTÉE,info@spanishornamental.com,(514) 326-0721,Montréal,QC,HVAC,Entrepreneur,1125-0495-87,rbq_contractors_bar
,,J. Jodoin ltée,jjodoin@jjodoin.com,(514) 761-2545,Montréal,QC,HVAC,Entrepreneur,1127-0089-26,rbq_contractors_bar
,,Fer Forge Ricciardelli Inc.,ferforce@videotron.ca,(514) 366-2990,Montréal,QC,HVAC,Entrepreneur,1127-4594-30,rbq_contractors_bar
,,Vitrerie Duchesne inc.,info@vitrerieduchesne.com,(450) 743-0028,Sorel-Tracy,QC,HVAC,Entrepreneur,1131-4127-93,rbq_contractors_bar
,,Duvernay Asphalte Et Transport Inc.,reception@duvernay-asphalte.com,(450) 667-9842,Laval,QC,HVAC,Entrepreneur,1140-9836-69,rbq_contractors_bar
,,Atelier Métal H.E.R. inc.,atelier@metalher.com,(450) 664-4300,Laval,QC,HVAC,Entrepreneur,1142-4975-93,rbq_contractors_bar
,,Lucien Desjardins Inc.,luciendesjardinsinc@hotmail.com,(514) 554-7979,Châteauguay,QC,HVAC,Entrepreneur,1145-4659-75,rbq_contractors_bar
,,La plomberie St-Rémi ltée,info@plomberiestremi.ca,(450) 454-2432,Saint-Rémi,QC,HVAC,Entrepreneur,1148-8384-32,rbq_contractors_bar
,,J.C. Lanctôt Inc.,molanctot@lanctotcsd.com,(514) 875-1954,Saint-Isidore,QC,HVAC,Entrepreneur,1149-1313-37,rbq_contractors_bar
,,La compagnie de Téléphone Bell du Canada ou Bell Canada,alexandre.caron@bell.ca,(514) 870-6550,Montréal,QC,HVAC,Entrepreneur,1154-1067-01,rbq_contractors_bar
,,Guay inc.,guillaume.gagnon@guay.com,(418) 628-8460,Québec,QC,HVAC,Entrepreneur,1154-8575-18,rbq_contractors_bar
,,Roberts & cie ltée,sleroux@plomberiebriere.com,(450) 375-3460,Granby,QC,HVAC,Entrepreneur,1160-2596-30,rbq_contractors_bar
,,Les Couvertures Shefford inc.,stevegiard82@gmail.com,(450) 775-8399,Granby,QC,HVAC,Entrepreneur,1160-2653-31,rbq_contractors_bar
,,J.O. Dufour Limitée,sophie@vitreriedufour.ca,(819) 562-4777,Sherbrooke,QC,HVAC,Entrepreneur,1160-6738-37,rbq_contractors_bar
,,Lucien Côté & fils inc.,janie@luciencote.com,(819) 562-9411,Sherbrooke,QC,HVAC,Entrepreneur,1161-4385-54,rbq_contractors_bar
,,Rodrigue Tremblay (Sherbrooke) inc.,marc-antoine.v@rtsi.ca,(819) 346-4527,Sherbrooke,QC,HVAC,Entrepreneur,1161-4583-58,rbq_contractors_bar
,,Roland Marquis Ltée,comptabilite@rolandmarquisltee.com,(581) 235-3460,Saguenay,QC,HVAC,Entrepreneur,1164-0687-98,rbq_contractors_bar
,,T.N.G. Isolation Ltée,info@tngisolation.com,(418) 547-3809,Saguenay,QC,HVAC,Entrepreneur,1164-6650-02,rbq_contractors_bar
,,H. Blanchette Ltée,hb@hblanchette.com,(819) 374-1303,Trois-Rivières,QC,HVAC,Entrepreneur,1166-6534-32,rbq_contractors_bar
,,Groupe Kopers inc.,admin@kopers.ca,(819) 752-4964,Victoriaville,QC,HVAC,Entrepreneur,1168-3174-52,rbq_contractors_bar
,,Marc Cossette inc.,info@marccossette.com,(819) 536-2611,Shawinigan,QC,HVAC,Entrepreneur,1173-4746-28,rbq_contractors_bar
,,Les Lignes Kebec Inc.,serger@zerodb.ca,(514) 938-1282,Terrebonne,QC,HVAC,Entrepreneur,1174-5700-36,rbq_contractors_bar
,,La Vitrerie Grand'Mère inc.,vitreriegm@cgocable.ca,(819) 538-8151,Shawinigan,QC,HVAC,Entrepreneur,1175-4033-51,rbq_contractors_bar
,,Construction Régionale (La Tuque) Inc.,construction.regionale@betonlt.com,(819) 709-6545,La Tuque,QC,HVAC,Entrepreneur,1175-7838-56,rbq_contractors_bar
,,Samson & Frères inc.,info@foragesamson.com,(418) 248-0749,Saint-Pierre-de-la-Rivière-du-Sud,QC,HVAC,Entrepreneur,1187-8931-91,rbq_contractors_bar
,,Gullaci & Freres inc.,ggullaci@gmail.com,(450) 667-7623,Laval,QC,HVAC,Entrepreneur,1205-1587-60,rbq_contractors_bar
,,Acier Richard Ltée,cdube@richardsteel.ca,(819) 643-4464,Gatineau,QC,HVAC,Entrepreneur,1207-0090-80,rbq_contractors_bar
,,Distributeur Tapico Ltée,tapicomtl@tapico.com,(514) 593-8828,Montréal,QC,HVAC,Entrepreneur,1217-2813-88,rbq_contractors_bar
,,Plomberie et chauffage J. Croteau inc.,martincroteau@plomberiejcroteau.com,(450) 669-7680,Laval,QC,HVAC,Entrepreneur,1222-0232-44,rbq_contractors_bar
,,Les installations électriques Gagnon & fils inc.,gagnoninc@videotron.ca,(418) 774-3728,Beauceville,QC,HVAC,Entrepreneur,1224-7235-68,rbq_contractors_bar
,,Aluminium Delta Ltée,mezy225@gmail.com,(514) 745-1388,Saint-Laurent,QC,HVAC,Entrepreneur,1231-6972-18,rbq_contractors_bar
