first_name,last_name,firm_name,email,phone,city,state,trade_category,license_type,bar_number,source
,,Paratonnerres Montréal inc.,vlabreche@paratonnerresmontreal.com,(514) 990-7540,Saint-Félix-de-Valois,QC,Masonry,Entrepreneur,1118-4256-16,rbq_contractors_bar
,,Magasin Jasmin inc.,admin@jardinjasmin.com,(514) 332-2978,Montréal,QC,Masonry,Entrepreneur,1127-8819-38,rbq_contractors_bar
,,Les Excavations St-Patrice Ltee,exc.stpatrice@derytele.com,(450) 454-2712,Saint-Patrice-de-Sherrington,QC,Masonry,Entrepreneur,1148-8814-33,rbq_contractors_bar
,,Bleau terrassement et pavage Ltée,adm@bleauterrassement.com,(418) 623-2837,Québec,QC,Masonry,Entrepreneur,1156-8714-60,rbq_contractors_bar
,,Philippe Trépanier Inc.,vicky@armature-trepanier.com,(418) 547-4734,Jonquière,QC,Masonry,Entrepreneur,1164-6817-03,rbq_contractors_bar
,,Multi-Surfaces - F. Giguère Inc.,ms@multi-surfaces.ca,(450) 586-1140,Lanoraie,QC,Masonry,Entrepreneur,1259-1269-04,rbq_contractors_bar
,,Jean Raynault Inc.,jrinc@hotmail.ca,(450) 589-3825,L'Assomption,QC,Masonry,Entrepreneur,1268-2852-86,rbq_contractors_bar
,,Roger Langlois & Fils Ltee,langlois.fils@tlb.sympatico.ca,(819) 737-4511,Senneterre,QC,Masonry,Entrepreneur,1271-2253-06,rbq_contractors_bar
,,R. Benoit Construction inc.,benoitconstruction@videotron.qc.ca,(514) 334-8995,Montréal,QC,Masonry,Entrepreneur,1331-9454-84,rbq_contractors_bar
,,Location Gaetan Levesque Inc.,lglmarie@globetrotter.net,(418) 589-3354,Baie-Comeau,QC,Masonry,Entrepreneur,1332-4900-00,rbq_contractors_bar
,,Scalabrini & Fils Inc.,scalabrinipierre@hotmail.com,(819) 849-3158,Sainte-Edwidge-de-Clifton,QC,Masonry,Entrepreneur,1353-6669-86,rbq_contractors_bar
,,Ben Girard & Fils Ltée,controleur@constructionjrsavard.ca,(418) 543-6364,Saint-Honoré,QC,Masonry,Entrepreneur,1357-3738-09,rbq_contractors_bar
,,9094-7623 Québec inc.,info@andremartel.com,(819) 845-5097,Saint-Claude,QC,Masonry,Entrepreneur,1363-1502-97,rbq_contractors_bar
,,Transport Gilbert Hamelin Inc.,tghinc@videotron.ca,(450) 454-3753,Saint-Michel,QC,Masonry,Entrepreneur,1370-4044-13,rbq_contractors_bar
,,Le Pavage Royal City Inc.,info@pavageroyalcity.ca,(514) 327-9162,Montréal,QC,Masonry,Entrepreneur,1371-6311-08,rbq_contractors_bar
,,Les Entreprises Forestieres St-Magloire Inc.,ent.for.st_magloire@sogetel.net,(418) 257-2931,Saint-Magloire,QC,Masonry,Entrepreneur,1462-0488-87,rbq_contractors_bar
