first_name,email,company_name
,info@chatellesimard.qc.ca,"Vitrerie Chatelle & Simard Inc."
,administration@vitreriehgcote.com,"La Vitrerie H.G. Côté Ltée"
,jlarochelle@vitreriesmith.com,"Vitrerie Smith inc."
,sartoplante@hotmail.com,"Sarto Plante Inc."
,vitrerieactuel@actuel.ca,"Vitrerie Actuel Inc."
,vitreriebedard@videotron.ca,"Vitrerie Bédard & Fils Inc."
,beho@vitretout.com,"Vitre-Tout inc."
,vitreriemichelois@outlook.com,"Vitrerie Michelois inc."
,vitrerie@vitrerie-claude.com,"Vitrerie Claude Ltée"
,info@vitrerieleblanc.com,"Vitrerie Leblanc inc."
,info@vitreriesavard.com,"Vitrerie Savard inc."
,payables@vitrerielm.com,"Vitrerie L.M. & Roux Ltée"
,info@univerre.ca,"Vitrerie Uni-Verre (1987) Inc."
,gillesquann@gauthierglassltd.com,"Gauthier Glass Ltd"
,luigi@fenebel.com,"Aluminium Fenebel (1964) Inc."
,info@vitrerieoptimum.com,"Vitrerie Optimum inc."
,fcharrier2023@hotmail.com,"Visions Nouvelles Inc."
,payables@vitreriequebec.com,"2851-9288 Québec inc."
,chagrim@hotmail.ca,"Vitrerie Charles Grimard Inc."
,vitreriedulac@hotmail.com,"Vitrerie Du Lac Enr."
,info@vitrevolution.com,"Vitrévolution inc."
,nicole.pfdm@gmail.com,"9086-6476 QUÉBEC INC."
,vitreriegeco84@gmail.com,"Vitrerie Geco inc"
,yvonlambert86@hotmail.com,"9196-4619 Québec inc."
,smeunier@sistr.ca,"Sis Trois-Rivières inc."
,goldshine@videotron.ca,"9161-7605 Québec Inc."
,danny.berube@teknion.com,"Teknion Roy & Breton inc."
,renee@st-germainlabreche.com,"St-Germain Labrèche inc"
,eric@pfporto.ca,"Fenestration Vitrerie Experts inc"
,cbfenexpert@bell.net,"CB Fenexpert inc."
,manonadam1@hotmail.com,"Les installations M.R.B. inc."
,nhladky@wiltonpanorama.com,"Fenêtres Panorama inc."
,bruno@aclquincaillerie.ca,"Quincaillerie A.C.L. inc."
Menuiserie,mfecteau@richelieu.com,"Menuiserie Des Pins Lteé"
,e.poulin@adottacanada.com,"9229-3646 Québec inc."
Bonnechere,admin@bvwd.ca,"727913 Ontario inc."
,carolyn@amstel-doors.com,"Amstel Manufacturing (1993) inc."
,moustiquairesmajor@sympatico.ca,"Moustiquaires Major inc."
,info@verplex.ca,"Verplex inc."
,info@fenetresmetric.com,"Fenêtres Métric inc."
,marisa@alumilex.com,"Alumilex Canada inc."
,vitbrasseur@videotron.ca,"VITRERIE BRASSEUR ET FILS S.E.N.C."
,info@solumatique.ca,"Solumatique inc."
,vilarosee@gmail.com,"VITRERIE VMP INC."
,marinpascal2012@gmail.com,"Les Innovations P.A. inc."
,sbergevin@dalmen.com,"Produits Dalmen Products Ltée"
,belvue@vitreriebelvue.ca,"Vitrerie Belvue inc."
,marta_bals@yahoo.ca,"9429-7751 Québec inc."
