first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url
,,1 LAW SOLICITORS LIMITED,,,,,,Birmingham,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/31438/1-law-solicitors-limited
,,100 LONDON LAW FIRM LTD,,,,https://100londonlawfirm.co.uk/,100londonlawfirm.co.uk,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/21379/100-london-law-firm-ltd
,,12B SOLICITORS LIMITED,,info@12bsolicitors.uk,+442038833235,,,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/621097/12b-solicitors-limited
,,360 LAW SERVICES LIMITED,,info@360lawservices.com,+443337727736,http://www.360lawservices.com,360lawservices.com,Lightwater,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/602248/360-law-services-limited
,,3CS CORPORATE SOLICITORS LIMITED,,thomas.miles@3cslondon.com,+442045161260,http://www.3cslondon.com,3cslondon.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/535282/3cs-corporate-solicitors-limited
,,3K LAW LTD,,majid.khan@3klaw.co.uk,+441618060989,,,Oldham,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/607848/3k-law-ltd
,,7 LAW SOLICITORS,,enquiries7lawsolicitors@outlook.com,+442087821130,http://www.donsolicitors.co.uk,donsolicitors.co.uk,Manchester,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/456742/7-law-solicitors-
,,A & A LAW,,info@aandalaw.co.uk,+442072311405,http://www.aandalaw.co.uk,aandalaw.co.uk,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/474298/a-a-law
,,A & C SOLICITORS,,admin@aandcsolicitors.co.uk,,http://www.aandcsolicitors.co.uk,aandcsolicitors.co.uk,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/618098/a-c-solicitors
,,A & M Solicitors Limited,,ianderson@aandmsolicitors.com,+441772888700,http://www.aandmsolicitors.com,aandmsolicitors.com,Preston,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/591285/a-m-solicitors-limited
,,A & P SOLICITORS LIMITED,,aandpsolicitors@live.co.uk,+442084295110,http://www.aandpsolicitor.co.uk,aandpsolicitor.co.uk,Harrow,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/602662/a-p-solicitors-limited
,,A & Y LAW LTD,,contact@ayjsolicitors.com,+442074047933,https://ayjsolicitors.com,ayjsolicitors.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/598200/a-y-law-ltd
,,A A Grewal and Aggarwal Solicitors,,aaggarwal@aagasolicitors.com,+441162461500,,,Leicester,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/7592/a-a-grewal-and-aggarwal-solicitors
,,A J Jones & Co Legal Services Ltd,,ajones@ajjonessolicitors.com,+442082150215,http://www.ajjonessolicitors.com,ajjonessolicitors.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/22058/a-j-jones-co-legal-services-ltd
,,A O & ASSOCIATES SOLICITORS,,aoandassociatessolicitors@gmail.com,+442088548055,http://www.aoandassociatessolicitors.co.uk,aoandassociatessolicitors.co.uk,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/544957/a-o-associates-solicitors
,,A S Solicitors,,enquiries@as-solicitors.com,+442083184345,http://www.as-solicitors.com,as-solicitors.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/457314/a-s-solicitors
,,A WILLIAMS & CO,,awilliams@williams-law.org,+442032873519,http://www.williams-law.org,williams-law.org,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/452140/a-williams-co
,,A&A Solicitors Limited,,info@aa-solicitors.co.uk,+441618833581,https://aa-solicitors.co.uk,aa-solicitors.co.uk,Manchester,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/12921/a-a-solicitors-limited
,,A&R SOLICITORS LTD,,info@aandrsolicitors.co.uk,+443333443351,http://aandrsolicitors.co.uk,aandrsolicitors.co.uk,Hayes,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/598068/a-r-solicitors-ltd
,,A-Legal Limited,,,,,,Sutton,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/23982/a-legal-limited
,,A-Z LAW SOLICITORS LIMITED,,zia@azlaw.co.uk,+442083550830,https://www.qualitysolicitors.com/azlaw,qualitysolicitors.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/553862/a-z-law-solicitors-limited
,,A. DONAMART SOLICITORS,,info@donamartsolicitors.com,+447869125740,https://www.donamartsolicitors.com,donamartsolicitors.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/593187/a-donamart-solicitors
,,A.H. PAGE,,richard@ahpage.com,+442085541985,http://www.ahpage.com,ahpage.com,Ilford,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/468000/a-h-page
,,A.VINCENT SOLICITORS LTD,,aniere@avincentsolicitors.co.uk,+447932614911,http://www.avincentsolicitors.co.uk,avincentsolicitors.co.uk,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/596608/a-vincent-solicitors-ltd
,,A.Y. Sovereign Solicitors Limited,,alex@aysovereign.com,+442086588054,https://www.aysovereign.com,aysovereign.com,Orpington,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/3090/a-y-sovereign-solicitors-limited
,,A1 LAWYERS LTD,,johnlewis.lawyer@gmail.com,,,,Warrington,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/631283/a1-lawyers-ltd
,,A1 SOLICITORS LTD,,,,https://www.a1solicitors.com,a1solicitors.com,Luton,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/31387/a1-solicitors-ltd
,,A2 SOLICITORS,,contact@a2solicitorslaw.com,+442073581606,http://www.A2sols.com,a2sols.com,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/448502/a2-solicitors
,,AA & CO SOLICITORS,,aa@aasolicitors.org.uk,+442083173333,http://www.aasolicitors.org.uk,aasolicitors.org.uk,London,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/464422/aa-co-solicitors
,,AA Grewal and Aggarwal Solicitors,,aaggarwal@aagasolicitors.com,+441162461500,http://www.aagasolicitors.com,aagasolicitors.com,Leicester,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/4038/aa-grewal-and-aggarwal-solicitors
,,AA LAW,,asadaziz@btinternet.com,+447733228021,http://www.aasolicitors.org.uk,aasolicitors.org.uk,Lincoln,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/465555/aa-law
,,AAN JOSEPH SOLICITORS,,sindhu@ajs.org.uk,+441562546550,http://www.ajs.org.uk,ajs.org.uk,Kidderminster,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/599236/aan-joseph-solicitors
,,Aaryan Solicitors Ltd,,info@aaryansolicitors.com,+442080045806,http://www.aaryansolicitors.com,aaryansolicitors.com,Hayes,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/2719/aaryan-solicitors-ltd
,,AB Legal Solicitors,,enquiries@ablegalsolicitors.co.uk,+441159648203,http://www.ablegalsolicitors.co.uk,ablegalsolicitors.co.uk,Nottingham,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/31912/ab-legal-solicitors
,,AB Mackenzie Limited,,,,https://www.abmackenzie.co.uk,abmackenzie.co.uk,Bromley,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/25536/ab-mackenzie-limited
,,Aba Defence Solicitors Ltd,,info@abadefence.co.uk,+447956696951,https://abadefence.co.uk/,abadefence.co.uk,Croydon,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/48588/aba-defence-solicitors-ltd
,,ABBEY LAW LIMITED,,afsana@abbeylaw.org,+441727839162,http://www.abbeylaw.org,abbeylaw.org,St Albans,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/621087/abbey-law-limited
,,ABBEY SOLICITORS LIMITED,,nadeem.ullah@abbeysolicitors.co.uk,+441618359933,http://www.abbeysolicitors.co.uk,abbeysolicitors.co.uk,Manchester,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/527536/abbey-solicitors-limited
,,Abbleys Solicitors Limited,,,,http://www.abbleys.co.uk,abbleys.co.uk,Manchester,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/23834/abbleys-solicitors-limited
,,Abbott & Harris Solicitors Ltd,,,,https://www.ahlaws.co.uk,ahlaws.co.uk,Harrow,UK-EW,UK,immigration,law_society_uk,https://solicitors.lawsociety.org.uk/office/37406/abbott-harris-solicitors-ltd
