first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url
,,Bradley Arant Boult Cummings LLP,,,(205) 521-8000,https://bradley.com/,bradley.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#bradleyarantboultcummingsllp
,,"Solano Law Firm, LLC",,,(404) 975-1086,https://solanofirm.com/,solanofirm.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#solanolawfirmllc
Yue,Li,Yue Li Attorney At Law,,,(205) 322-0627,https://yueliattorney.com/,yueliattorney.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#yueliattorneyatlaw
,,Stringer Law Firm LLC,,,(205) 531-1675,https://stringerlawfirm.net/,stringerlawfirm.net,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#stringerlawfirmllc
Stevenson,Silva,Stevenson Silva LLP,,,(205) 703-9000,https://stevensonsilva.com/,stevensonsilva.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#stevensonsilvallp
Albert,Osorio,"Law Offices of Albert J. Osorio, LLC",,,(205) 332-0506,https://osoriolaw.com/,osoriolaw.com,Vestavia Hills,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#lawofficesofalbertjosoriollc
,,"Snow & Nichols, LLC",,,(205) 437-4700,https://snownichols.com/,snownichols.com,Vestavia Hills,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#snownicholsllc
,,Vulcan Legal Group,,,(205) 202-5190,https://vulcanlegalgroup.com/,vulcanlegalgroup.com,Vestavia Hills,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#vulcanlegalgroup
,,The Kullman Firm,,,(205) 871-5858,https://kullmanlaw.com/,kullmanlaw.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#thekullmanfirm
,,Tedrow and Myers Immigration Law Group,,,(205) 871-8084,https://tmimm.com/,tmimm.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#tedrowandmyersimmigrationlawgroup
Allen,Shabani,Allen Shabani,,,(205) 624-4043,https://allenshabani.com/,allenshabani.com,Birmingham,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#allenshabani
,,"The Love Law Firm, LLC",,,(205) 323-8727,https://loveimmigration.com/,loveimmigration.com,Vestavia Hills,AL,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/alabama/birmingham#thelovelawfirmllc
,,"Jiang Law Firm, PLLC",,,(480) 999-0294,https://thejianglaw.com/,thejianglaw.com,Tempe,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#jianglawfirmpllc
,,Enara,,,(602) 687-2010,https://enaralaw.com/,enaralaw.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#enara
,,"Law Office of Bruno Gitnacht, P.L.L.C.",,,(602) 266-5555,https://bglawaz.com/,bglawaz.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#lawofficeofbrunogitnachtpllc
,,Patel Law P.L.C.,,,(602) 266-2169,https://patellawaz.com/,patellawaz.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#patellawplc
,,"Law Offices of Alice Vacek Aranda, PLLC",,,(602) 275-3238,https://arandalaw.org/,arandalaw.org,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#lawofficesofalicevacekarandapllc
,,Solorzano Law Firm,,,(602) 844-0951,https://www.solorzanolawfirm.com/,solorzanolawfirm.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#solorzanolawfirm
,,MayesTelles Attorneys,,,(602) 428-7104,https://www.mayestelles.com/,mayestelles.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#mayestellesattorneys
,,Federal Immigration Counselors,,,(602) 254-5353,https://www.ficpc.com/,ficpc.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#federalimmigrationcounselors
,,"Habich Law, PLC",,,(602) 795-8383,https://habichlaw.com/,habichlaw.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#habichlawplc
,,Sargon Law Group,,,(623) 225-5635,https://www.mdkattorneys.com/,mdkattorneys.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#sargonlawgroup
,,Cadavid & Associates,,,(602) 515-8859,https://www.cadavidlaw.com/,cadavidlaw.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#cadavidassociates
,,Fullmer & Associates,,,(602) 888-2639,https://cfullmerlaw.com/,cfullmerlaw.com,Phoenix,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#fullmerassociates
,,"DiSanto & DiSanto, PLC",,,(480) 551-7020,https://disantoimmigrationlaw.com/,disantoimmigrationlaw.com,Scottsdale,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/phoenix#disantodisantoplc
,,Moore Law Firm,,,(520) 500-8500,https://www.moorelawfirmaz.com/contact-us/central-location/,moorelawfirmaz.com,Tucson,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/tucson#moorelawfirm
,,Expertise.com Concierge Service,,,(848) 266-5776,,,Tucson,AZ,US,immigration,expertise.com,https://www.expertise.com/legal/immigration-lawyers/arizona/tucson#expertisecomconciergeservice
